timestamp,event_type,object_class,object_id,description,duration,confidence
2025-10-11 11:19:39,disappeared,car,56,Left frame,7.659013748168945,0
2025-10-11 11:19:40,disappeared,car,60,Left frame,4.400597095489502,0
2025-10-11 11:19:40,disappeared,car,57,Left frame,8.06443190574646,0
2025-10-11 11:19:41,appeared,car,65,car appeared,0,0.56695116
2025-10-11 11:19:41,appeared,car,66,car appeared,0,0.7509156
2025-10-11 11:19:41,appeared,car,67,car appeared,0,0.54129165
2025-10-11 11:19:42,disappeared,car,62,Left frame,4.4465227127075195,0
2025-10-11 11:19:43,disappeared,car,44,Left frame,29.6532986164093,0
2025-10-11 11:19:44,appeared,car,68,car appeared,0,0.8265129
2025-10-11 11:19:45,appeared,car,69,car appeared,0,0.5817971
2025-10-11 11:19:46,disappeared,car,61,Left frame,8.959771871566772,0
2025-10-11 11:19:48,appeared,car,70,car appeared,0,0.6041905
2025-10-11 11:19:48,appeared,car,71,car appeared,0,0.61967283
2025-10-11 11:19:48,appeared,car,72,car appeared,0,0.5139438
2025-10-11 11:19:49,disappeared,car,68,Left frame,4.597378730773926,0
2025-10-11 11:19:50,appeared,car,73,car appeared,0,0.6336737
2025-10-11 11:19:50,appeared,car,74,car appeared,0,0.5135845
2025-10-11 11:19:50,appeared,car,75,car appeared,0,0.7362218
2025-10-11 11:19:50,appeared,car,76,car appeared,0,0.6277677
2025-10-11 11:19:50,disappeared,car,69,Left frame,4.76203727722168,0
2025-10-11 11:19:50,disappeared,car,58,Left frame,17.000083446502686,0
2025-10-11 11:19:51,disappeared,car,66,Left frame,9.189799785614014,0
2025-10-11 11:19:52,line_crossed,car,63,Entered (crossed line),0,0.616201
2025-10-11 11:19:53,disappeared,car,72,Left frame,4.684248447418213,0
2025-10-11 11:19:54,appeared,car,77,car appeared,0,0.62204
2025-10-11 11:19:54,disappeared,car,64,Left frame,15.181538343429565,0
2025-10-11 11:19:54,disappeared,car,67,Left frame,13.012213468551636,0
2025-10-11 11:19:54,disappeared,car,74,Left frame,4.713749885559082,0
2025-10-11 11:19:55,disappeared,car,73,Left frame,4.864521741867065,0
2025-10-11 11:19:56,appeared,car,78,car appeared,0,0.6495216
2025-10-11 11:19:56,appeared,truck,79,truck appeared,0,0.74956393
2025-10-11 11:19:56,disappeared,car,70,Left frame,8.421218395233154,0
2025-10-11 11:19:58,disappeared,car,75,Left frame,7.800328254699707,0
2025-10-11 11:19:58,appeared,car,80,car appeared,0,0.6164846
2025-10-11 11:19:59,appeared,car,81,car appeared,0,0.56932193
2025-10-11 11:19:59,appeared,car,82,car appeared,0,0.5094516
2025-10-11 11:20:00,disappeared,car,78,Left frame,4.438209533691406,0
2025-10-11 11:20:01,disappeared,car,49,Left frame,39.920313596725464,0
2025-10-11 11:20:01,disappeared,car,71,Left frame,12.877009391784668,0
2025-10-11 11:20:01,appeared,car,83,car appeared,0,0.511911
2025-10-11 11:20:02,disappeared,car,77,Left frame,8.45591139793396,0
2025-10-11 11:20:03,appeared,car,84,car appeared,0,0.54575413
2025-10-11 11:20:03,disappeared,truck,79,Left frame,7.465575933456421,0
2025-10-11 11:20:04,disappeared,car,82,Left frame,4.438667297363281,0
2025-10-11 11:20:04,disappeared,car,80,Left frame,6.16245174407959,0
2025-10-11 11:20:05,appeared,car,85,car appeared,0,0.6219621
2025-10-11 11:20:07,appeared,car,86,car appeared,0,0.75490785
2025-10-11 11:20:07,disappeared,car,83,Left frame,6.032416582107544,0
2025-10-11 11:20:08,disappeared,car,84,Left frame,4.924155235290527,0
2025-10-11 11:20:09,appeared,car,87,car appeared,0,0.8888951
2025-10-11 11:20:09,disappeared,car,76,Left frame,19.27955174446106,0
2025-10-11 11:20:11,disappeared,car,85,Left frame,6.570022344589233,0
2025-10-11 11:20:13,disappeared,car,86,Left frame,5.685528516769409,0
2025-10-11 11:20:13,appeared,car,88,car appeared,0,0.6006523
2025-10-11 11:20:13,appeared,car,89,car appeared,0,0.7851736
2025-10-11 11:20:13,disappeared,car,87,Left frame,4.645632266998291,0
2025-10-11 11:20:14,appeared,car,90,car appeared,0,0.61728543
2025-10-11 11:20:15,appeared,car,91,car appeared,0,0.57538366
2025-10-11 11:20:17,disappeared,car,81,Left frame,18.06314206123352,0
2025-10-11 11:20:18,appeared,car,92,car appeared,0,0.60430247
2025-10-11 11:20:18,appeared,car,93,car appeared,0,0.5643242
2025-10-11 11:20:19,appeared,car,94,car appeared,0,0.58856314
2025-10-11 11:20:19,appeared,car,95,car appeared,0,0.5975897
2025-10-11 11:20:20,appeared,car,96,car appeared,0,0.63293004
2025-10-11 11:20:21,appeared,car,97,car appeared,0,0.5732824
